Data Taken from https://www.kaggle.com/datasets/threnjen/board-games-database-from-boardgamegeek?resource=download&select=games.csv,,,
About Board Game Categories and Rankings,,,
Modified/Transformed/Cleaned by Sarah Cannon,,,
For CSCI 36,Fall 2024, Claremont McKenna College,
186,Split,5.92335,Other
188,Go,7.63525,Abstract
190,Dolce Vita,6.12296,Family
192,Nicht die Bohne!,6.32766,Family
193,Fill or Bust,5.68869,Family
194,Groo: The Game,6.30273,Thematic
195,NASCAR Champions,5.4075,Other
197,HellRail: Second Perdition,6.07946,Other
198,Buried Treasure,6.02409,Family
199,Manhattan,6.72653,Family
201,The Rose King,6.80763,Abstract
204,Stephenson's Rocket,6.89849,Strategy
206,Pepper,6.00582,Other
207,Twitch,6.08278,Other
208,Ex & Hopp,5.43676,Other
210,Don Pepe,6.22488,Other
211,Times to Remember,6.30685,Other
214,Café International,6.23001,Family
215,Tichu,7.57817,Strategy
216,Atlanteon,5.81768,Abstract
217,A la carte,6.45981,Family
219,Volle Hütte,6.18946,Other
220,High Society,7.09497,Family
222,Space Beans,6.08937,Family
223,Expedition,6.81952,Family
225,Icehouse,6.63562,Abstract
226,Isi,6.57927,Abstract
228,Lunch Money,5.63527,Thematic
229,King of the Elves,6.21133,Family
230,Merchant of Venus,7.14422,Strategy
231,Geronimo,5.71904,War
232,Serenissima,6.85917,Strategy
234,Hannibal: Rome vs. Carthage,7.80012,War
237,Wooden Ships & Iron Men,7.05421,War
239,"Wagram: The Peace of Vienna, 5-6 July 1809",6.7265,War
240,Britannia,7.20039,War
243,Advanced Squad Leader,8.00152,War
246,Politika,4.99641,Other
247,Gloria Picktoria,6.34728,Family
248,Blood Royale,6.55809,Thematic
252,The Battle of Borodino: Napoleon in Russia 1812,6.71993,War
254,Empires in Arms,7.61853,War
255,Jena-Auerstadt: The Battle for Prussia,5.96774,War
256,Mississippi Queen,6.33296,Family
257,Kill Doctor Lucky,6.15477,Family
260,Starship Troopers: Prepare For Battle!,5.78416,War
261,Olympia 2000 (v. Chr.),6.05007,Family
264,Enemy in Sight,6.23252,War
265,Intrigue,6.36969,Strategy
267,Tycoon,6.77221,Strategy
268,Cheops,6.15693,Other
271,It's Mine!,5.91264,Family
272,Downtown,6.32966,Other
273,Africa 1880,5.71241,Other
274,Guerilla,6.25014,War
275,Extinction,4.95349,Other
276,La Guerre de l'Empereur,6.45714,War
277,Res Publica,5.91715,Strategy
278,Catan Card Game,6.71379,Strategy
279,The Very Clever Pipe Game,6.21743,Abstract
281,Ostindiska Kompaniet,4.71739,Other
282,Vikingatid,6.02343,War
283,Advanced Third Reich,6.91096,War
285,Monsters Ravage America,5.84342,Thematic
288,Rossyïa 1917,7.28569,War
289,Chariot Lords,6.63242,War
290,Gold Digger,5.73612,Family
291,Courtisans of Versailles,5.76501,Other
292,Attacke,5.71611,Family
294,Keydom,6.82895,Other
295,Europa 1945-2030,5.98024,Strategy
296,Medieval Merchant,6.72123,Strategy
297,Stadens Nyckel,5.27017,Other
298,Lang lebe der König!,5.17243,War
299,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,7.29474,War
300,Tutankhamen,6.10717,Family
301,Campanile,6.16582,Family
302,Forum Romanum,6.74236,Abstract
303,Koalition,6.45046,Strategy
304,Evergreen,5.5297,Other
308,Santa Fe,6.96395,Strategy
309,Arabana-Ikibiti,6.20158,Abstract
311,Time Agent,6.67129,Strategy
313,Big Boss,7.10806,Strategy
314,Highlanders,6.20604,War
315,Bagh Chal,5.93031,Abstract
316,Chase,6.81403,Abstract
317,The Mob,6.43502,Other
319,Top It,5.69298,Abstract
320,Scrabble,6.2753,Family
322,Tonga Bonga,6.41085,Family
323,Anno 1452,6.0543,Strategy
324,Ponte Vecchio,5.8017,Other
327,Loopin' Louie,6.76431,Childrens
328,Damn the Torpedoes!,4.93514,War
329,Russian Front,7.22465,War
330,Block Mania,6.5028,Thematic
332,Vernissage,6.30654,Other
333,Waterworks,5.5317,Family
334,Advance to Boardwalk,5.39724,Family
335,Breakthru,5.80947,Abstract
336,Jumpin,5.5323,Abstract
337,Circus Flohcati,6.62624,Family
339,Quiddler,6.07907,Family
340,Frank's Zoo,6.60839,Family
342,Hong Kong,5.90256,Abstract
343,Twins,6.25343,Family
344,Members Only,6.61413,Family
345,Prairie Railroads,7.01111,Other
347,Fishy,5.60391,Other
348,Merchants of the Middle Ages,6.7323,Strategy
349,Halunken & Spelunken,5.61095,Family
350,Hattrick,6.4942,Family
352,Trumpet,6.18171,Other
353,Inkognito: The Card Game,5.43012,Family
354,Stick 'Em,7.04365,Strategy
355,Das letzte Paradies,5.73892,Strategy
356,Ab die Post!,5.27941,Family
357,Excape,6.34908,Family
359,Bucket Brigade,6.06204,Family
361,Hare & Tortoise,6.63082,Family
362,Elefantenparade,5.77801,Other
363,Cat Blues,5.9293,Family
364,Samarkand,6.43141,Strategy
365,Tricks,5.57517,Other
366,Viva Pamplona!,6.36593,Family
367,Overthrone,5.32714,Other
368,Relationship Tightrope,6.16919,Family
369,5ive Straight,6.26404,Family
371,Mystery Rummy: Murders in the Rue Morgue,6.73344,Family
372,Schotten Totten,7.32098,Family
373,Wrott & Swindlers,6.5625,Other
374,Colorado County,6.14746,Other
375,6 Billion,5.34493,Strategy
378,Lancashire Railways,6.94087,Strategy
379,Express,6.19882,Family
380,Polarity,6.36459,Abstract
381,X Pasch,6.25,Other
382,Heimlich & Co.,6.44352,Family
383,Turf Horse Racing,6.45224,Family
386,Pirateer,5.53245,Family
388,Finale,5.7502,Family
389,Die Mauer,6.05232,Other
391,Ocean,4.77083,Other
393,Dinosaurs of the Lost World,6.60971,Family
394,Kahuna,6.6242,Abstract
396,Der dreizehnte Holzwurm,6.00664,Other
397,Diskwars,5.94082,CGS
398,Wildlife Safari,6.64268,Family
399,Tom Clancy's Politika,4.24552,Strategy
400,Shanghai,5.33028,Other
401,Gold Connection,6.44645,Other
403,Elk Fest,6.15421,Family
406,Meteo,5.49653,Other
409,Dschungel,4.82031,Other
410,D'raf,5.97525,Other
412,Yukon Company,6.20909,Other
413,Die Erben von Hoax,6.04029,Other
414,Around the World in 80 Days,5.9991,Family
415,Espresso,6.16667,Other
416,A to Z,6.09537,Party
420,Rail Baron,6.58867,Strategy
421,1830: Railways & Robber Barons,7.86873,Strategy
422,1835,7.05009,Strategy
423,1856: Railroading in Upper Canada from 1856,7.51252,Strategy
424,1870: Railroading across the Trans Mississippi from 1870,7.43449,Strategy
425,Thunder's Edge,6.16401,War
426,The Battle of the Bulge,6.56553,War
428,Galopp Royal,5.89167,Other
430,Asterix: Das Kartenspiel,5.96863,Other
431,Alhambra: The Card Game,6.44042,Family
432,6 nimmt!,6.92892,Family
433,Shark,6.63678,Strategy
434,Yucata',5.7719,Abstract
436,Canyon,6.2503,Family
437,Master Labyrinth,6.29365,Family
438,Scotland Yard,6.51192,Family
440,Zoff in Buffalo,6.38601,Other
445,Die Osterinsel,5.78564,Other
446,Avalanche,5.70484,Abstract
449,The Great Balloon Race,6.15643,Family
450,Octi,6.72365,Abstract
451,Beutelschneider,5.8925,Other
452,Mummy Rummy,5.07579,Other
454,Tante Tarantel,6.18419,Childrens
455,Am Fuß des Kilimandscharo,5.67,Family
457,Jumbo Grand Prix,5.87424,Family
458,Sherlock Holmes: The Card Game,6.20354,Thematic
462,Esels-Rennen,5.52269,Other
463,Magic: The Gathering,7.53543,CGS
465,Zankapfel,6.29683,Other
466,Inkognito,6.59027,Family
469,In Teufels Küche,6.10426,Childrens
471,Totem,5.49587,Other
472,DungeonQuest,6.73358,Thematic
473,Olé!,6.57758,Other
474,Cold War,6.13739,Strategy
475,Taj Mahal,7.27856,Strategy
476,Mr. President,6.59843,Strategy
477,The Broadway Game,6.43512,Other
479,Bambuti,5.90462,Other
481,Carolus Magnus,6.82358,Strategy
482,Sky Runner,5.54634,Other
484,Stratego Legends,5.7957,CGS
485,Galloping Pigs,5.775,Family
486,Barnyard Buddies,5.71263,Childrens
488,Stake Your Claim,6.05,Other
489,Pacal,6.1501,Other
490,Warangel,7.71165,War
494,Ave Caesar,6.62966,Family
495,Time Pirates,5.57638,Other
496,Dilemma,4.20667,Other
497,Vampire,5.931,Family
500,MARK,5.94915,Other
501,Dschungelrennen,6.17778,Childrens
504,Die Verbotene Stadt,6.06596,Other
505,Goldener Drache,5.70327,Other
506,The Big Cheese,5.8854,Family
508,Blue Max,7.12097,War
509,The Reef,5.69583,Family
510,Eschnapur,5.68267,Other
511,Silverton,7.10227,Strategy
512,Holiday!,6.61051,Other
514,True Colors,6.06378,Party
515,6-Tage Rennen,6.90602,Family
519,Mush,5.83319,Other
520,Axis & Allies: Europe,6.5141,War
521,Crokinole,7.93845,Family
524,Desperados,5.57124,Family
525,Pisa,6.27076,Other
526,Abalone,6.45465,Abstract
527,GIPF,7.09397,Abstract
528,ZÈRTZ,7.27648,Abstract
529,Charlemagne,6.27667,Other
530,Entenrallye,5.88182,Other
531,Merchants of Amsterdam,6.71396,Strategy
536,Visionary,6.46446,Other
538,Manager,6.44098,Other
540,Sisimizi,6.33884,Abstract
541,Das Motorsportspiel,7.46209,Family
542,Animocrazy 豬事議會,5.53104,Party
545,Kaleidos,6.70794,Party
548,Buck Rogers: Battle for the 25th Century Game,6.46356,War
549,Aerodrome,7.58245,War
551,Battle Cry,7.14976,War
552,Bus,7.53447,Strategy
554,La Città,7.0351,Strategy
555,The Princes of Florence,7.52664,Strategy
556,7 Safari,5.25243,Childrens
557,Laguna,5.88165,Other
558,Der weiße Lotus,6.19936,Other
561,Flußpiraten,6.1698,Other
562,Silberzwerg,6.40794,Other
563,Doolittle & Waite,6.25129,Other
564,Die Seidenstraße,5.45761,Other
565,Port Royal,6.15902,Other
566,Wongar,6.29016,Other
568,Rage,6.15782,Family
569,Maestro,5.83811,Other
571,Papua,6.24681,Other
572,Battle Cattle,5.46056,War
573,Grand Prix,6.42174,Other
574,Devil Take the Hindmost,6.43503,Family
575,Das Kollier,5.47143,Other
581,Tile Chess,5.95463,Abstract
582,Kampf um Rom,5.52162,War
585,Kardinal,6.55197,Abstract
586,Up Front,7.87075,War
587,Sumera,6.22742,Other
589,Wiz-War,6.88221,Thematic
590,Mille Bornes,5.70346,Family
592,Spades,6.76555,Family
593,Favoriten,6.41983,Other
594,Sleuth,6.91567,Strategy
595,Escape from Elba,5.45185,Thematic
600,Die Weinhändler,5.08559,Other
601,Take Two,5.85882,Other
602,Career Poker,6.61818,Other
603,Putsch,5.49789,Other
604,Verrat!,5.35652,Other
605,Banana Republic,5.36358,Other
606,Pico 2,5.93643,Other
608,Siesta,6.28864,Abstract
610,Knights of the Rainbow,4.93529,Other
611,Ironman Football,6.28333,Thematic
612,Kippit,5.9407,Other
613,Overboard,5.68767,Abstract
614,Rubik's Race,6.04525,Other
617,Alles Futsch,5.29032,Other
618,MLB Showdown,6.21892,Other
620,We the People,7.31048,War
621,25 Words or Less,6.54796,Party
622,Change!,5.28281,Family
624,Quoridor,6.66289,Abstract
625,Business,6.11125,Other
626,War and Peace,6.69662,War
627,Royal Tank Corps,6.52661,War
629,Q-Turn,5.04055,Abstract
630,Double Quick,7.06579,Other
632,Cloud 9,6.48261,Family
634,River Dragons,6.5019,Family
635,Formula Motor Racing,6.41108,Family
637,The Stock Car Championship Racing Card Game,6.8742,Strategy
638,Hera and Zeus,6.48803,Strategy
639,American Megafauna,6.85596,Strategy
642,Oodles,6.10415,Party
643,Deadlands: Doomtown Range Wars,6.26844,CGS
644,Shipwrecked,5.69211,Other
645,Bosworth,5.81967,Abstract
646,Pirate's Plunder,4.64221,Other
647,Mystick Domination,6.43333,Other
648,Vox Populi,4.38987,Other
649,Thieves of Bagdad,5.97797,Other
650,Fairy Meat,5.98489,Thematic
651,Zero Down,6.46264,Family
652,X-Net,5.71429,Other
653,Shit!,5.45009,Other
655,Castle,6.1028,Family
657,Münchhausen,5.88171,Other
660,Riffifi,6.06919,Other
661,Where's Bob's Hat?,6.22904,Other
663,Siege,4.83548,Other
665,Quackshot,6.68333,Childrens
666,Stump,6.38788,Other
668,Sternenhimmel,6.56071,Strategy
669,Plague & Pestilence,6.20708,Thematic
670,Starship Troopers,6.53283,War
671,Bull Run: The First Major Battle of the American Civil War,6.3626,War
673,Star Traders,6.33325,Strategy
674,J.U.M.P. Into the Unknown,5.345,War
675,4th Dimension,5.27625,Abstract
676,Ninja Wars,4.68129,Other
677,Would You Rather...?,4.37405,Other
679,Minion Hunter,6.22414,Other
680,Dune,5.76155,Thematic
681,Quarto,6.86154,Abstract
684,Monopoly: The Card Game,5.5378,Family
685,Marrakesh,6.88726,Abstract
686,Dr. Jekyll & Mr. Hyde,6.75802,Strategy
687,Cabale,6.16218,Abstract
688,Manchu: The Taiping Rebellion – 1852-1868,6.03375,War
690,Singapore,6.43255,War
691,Timbuktu,6.65845,Strategy
692,Wizard Kings,6.71909,War
695,Fibonacci,6.28889,Abstract
696,The Big Idea,6.29205,Party
697,Conspiracy,6.24374,Family
698,Gother Than Thou,4.65103,Thematic
699,HeroQuest,7.1501,Thematic
700,Battle Masters,6.29095,War
701,A House Divided: War Between the States 1861-65,7.07239,War
702,Wabbit Wampage,5.97602,Thematic
703,Roman Civil War,6.85523,War
704,Montgolfiere,5.84796,Family
705,Caesar in Gallia: Conquest on the Ancient Frontier,6.90565,War
706,Frederick the Great: The Campaigns of The Soldier King,6.9556,War
707,When Tigers Fight,6.18222,War
708,Holy War: Afghanistan,6.23187,War
709,Dragons of Glory,6.25882,War
711,Elfenroads,7.05959,Strategy
713,Nuclear War,6.21894,Thematic
714,Talisman,6.35398,Thematic
715,Escape from Colditz,6.66717,Thematic
716,Pizza Party,4.95516,Childrens
718,Galaxy: The Dark Ages,6.27078,Strategy
719,Tyranno Ex,6.46624,Strategy
720,Fast Food Franchise,6.32872,Strategy
721,Oregon Trail,5.39659,Other
723,The Uncanny X-Men Alert Adventure Game,6.13641,Thematic
724,Chill: Black Morn Manor,5.98998,Thematic
727,Chinese Civil War,5.8949,War
728,The Sun Never Sets: Three Campaigns of the British Empire,7.02128,War
730,Breakout: Normandy,7.68664,War
731,Escape from New York,5.54747,Thematic
736,San Francisco,6.18419,Other
740,Rio Grande:  The Battle of Valverde,5.27797,War
741,Trajan,6.84542,War
742,Germania,6.68206,War
745,War of Resistance,7.02576,War
746,"The Game of France, 1940: German Blitzkrieg in the West",5.94646,War
747,Bitter Woods: The Battle of the Bulge,6.89859,War
748,Trax,6.50334,Abstract
751,Minos,6.40307,Strategy
752,Maul of America,4.72939,Other
753,Panzerkrieg: von Manstein & HeeresGruppe Süd,6.45769,War
754,Domain,6.12156,Abstract
755,Thunder at Cassino,7.02387,War
756,Black Vienna,7.01613,Strategy
757,Lunatix Loop,6.33657,Other
759,Turning Point: Stalingrad,7.26836,War
760,Battle Line,7.4134,Strategy
762,Formula C Minus,5.18571,Other
764,Mad Gab,5.00742,Party
765,Space Walk,5.95776,Abstract
766,Regatta,6.3433,Strategy
767,Keywood,6.80727,Other
768,Keytown,6.53952,Other
769,Star Trek Red Alert,6.49074,Other
770,Loot,6.29663,Family
771,Kings and Castles,6.63192,Strategy
772,Ausbrecher AG,6.06098,Other
773,Beim Zeus!,5.17568,Other
775,Die Tafelrunde,5.77424,Other
776,Remmi Demmi,5.63273,Other
781,Tabloid Teasers,5.91235,Other
783,Letter Head,5.9582,Other
784,Discretion,6.61538,Other
785,Dog Eat Dog,5.17083,Other
786,Maxi Bour$e,4.54947,Other
787,Palermo,5.92667,Other
788,Tales of the Arabian Nights,7.06102,Thematic
789,Focus,6.44925,Abstract
790,Terra Turrium,6.05054,Abstract
791,Löwendynastie,5.92267,Other
792,Megiddo,6.07872,Abstract
794,Foil,5.5177,Other
795,Dragonlance,5.38364,Family
796,Shanghai Trader,6.4826,Other
797,Flucht aus Mangrovia,4.55,Other
798,Ace of Aces: Handy Rotary Series,7.03526,War
799,The Hills Rise Wild!,6.37923,Thematic
801,Crimean War Battles,6.85,War
802,Taipei: China Invades,6.07059,War
803,Dragonhunt,5.7536,War
804,Thunder Road,6.65921,Thematic
805,Buffy the Vampire Slayer: The Game,6.63384,Thematic
806,West Riding,6.37571,Strategy
808,Pipeline: The Oil Game,5.27045,Abstract
810,Amoeba,6.02619,Abstract
811,Rummikub,6.40131,Family
813,Goosebumps: Terror in the Graveyard Game,5.38616,Childrens
814,Aquarius,6.04985,Family
816,2038: Tycoons of the Asteroid Belt,7.0818,Strategy
819,Quacksalbe,6.26923,Other
820,Axiom,6.96537,Abstract
821,La Trel,5.54137,Abstract
822,Carcassonne,7.41883,Family
823,The Lord of the Rings,6.74543,Thematic
824,Hijara,5.77993,Abstract
825,Screaming Eagles,5.99292,Family
826,Cartagena,6.68543,Family
827,Attila,6.47896,Strategy
828,Wizards,6.37999,Thematic
829,Battle of the Bands,5.77363,Other
831,Schrille Stille,6.47311,Strategy
833,For the People,7.76705,War
834,Chronology,6.48532,Party
835,Election,6.84021,Other
836,New England Railways,6.64327,Strategy
840,Corsairs,6.05147,Family
844,Mausoleum,4.6117,Other
847,Feudal,6.06872,Abstract
848,Tip Tap,5.76514,Other
849,Golf Masters,4.82817,Other
852,Pop Belly,5.20864,Childrens
853,...und tschüss!,6.40802,Family
854,Doge,6.50347,Strategy
855,Java,7.00894,Strategy
856,"New York, New York",5.75773,Other
857,Titanic: Der Mythos,5.4465,Other
858,Blindes Huhn,5.2962,Other
860,Scotland the Brave,5.89286,War
861,Weapons & Warriors:  Castle Combat Set,5.95808,Childrens
864,Mage Knight,6.17708,CGS
865,Landslide,6.17731,Other
866,"Lie, Cheat & Steal",5.28156,Other
869,Bongo!,6.07702,Other
870,Empires of the Ancient World,6.62418,Strategy
871,Fire,6.03562,Other
873,Offline,5.98611,Other
875,Roads & Boats,7.7313,Strategy
876,Tennis Masters,5.63889,Other
877,Troia,5.60162,Other
878,Wyatt Earp,6.83231,Family
879,Tacara,6.3527,Other
882,Derby,6.02674,Other
883,Ivanhoe,6.5389,Family
884,Way Out West,6.14302,Strategy
886,Der Garten des Sonnenkönigs,5.93451,Other
890,Real Action Stockcar Championship,6.92131,Other
891,Cranium,5.68145,Party
895,APBA Pro Baseball,7.02516,Thematic
899,Movie Mania,4.57798,Other
900,City,5.60826,Other
902,Meuterer,6.88011,Strategy
903,Hamsterrolle,6.81159,Family
905,Vagabondo,5.73889,Abstract
906,Abilene,5.8831,Other
908,Tally Ho!,6.14755,Family
909,Saturn,6.75995,Other
910,Kunst Stücke,6.43647,Strategy
912,Pacific Victory: War in the Pacific 1941-45,6.92564,War
914,Battle Platform Antilles,5.07895,Other
915,Mystery of the Abbey,6.5372,Family
916,Pete the Pirate,5.87,Childrens
917,Rack-O,5.78218,Family
920,Ultimate Outburst,6.11843,Other
923,Breakaway Rider,6.18922,Family
925,Werewolf,6.52483,Party
927,Lift Off,5.15667,Other
928,Gerüchteküche,5.06333,Other
929,The Great Dalmuti,6.5681,Party
930,Böse Buben,5.29592,Other
931,Corner,6.48333,Abstract
933,New Orleans Big Band,5.8271,Other
934,Die Kette von Saba,5.38864,Other
935,Australian Rails,6.95804,Strategy
936,The Fury of Dracula,6.9296,Thematic
937,1825 Unit 1,6.84983,Strategy
938,Enchanted Forest,5.71836,Childrens
939,Star Wars: The Queen's Gambit,7.5636,Thematic
940,Karawane,6.02057,Other
941,Turbo Taxi,6.05609,Family
942,Snail's Pace,5.17742,Other
943,Ligretto,6.18566,Family
944,Mag·Blast,5.90383,Thematic
947,Trivia for Dummies,5.19407,Other
948,Dao,5.31095,Abstract
949,Twixt,6.58862,Abstract
951,Football Strategy,6.42525,Strategy
954,Pony Express,5.31944,Other
955,Super Giant Monster Showdown,6.02789,Other
957,PanzerZug,6.17222,Other
958,Orcz,5.42276,Other
959,Luftschiff,7.15733,War
964,Kapitän Wackelpudding,6.22467,Childrens
965,Ben Hurt,5.6435,Other
975,The Keep,5.86848,Other
979,The Powerpuff Girls: Saving the World Before Bedtime,5.84969,Childrens
980,Al Cabohne,5.9658,Family
984,Name Burst,6.20685,Other
986,Babel,6.65679,Strategy
988,Zapp Zerapp,6.12898,Childrens
990,90 Grad,6.68769,Abstract
992,Alcazar,5.9,Other
993,An den Ufern des Nils,6.34306,Strategy
997,Canaletto,5.3099,Other
999,Panda Monium,5.36618,Childrens
1000,Corona,6.43333,Abstract
1001,Vendetta,5.11766,Other
1002,Cosmic Eidex,6.89404,Strategy
1003,Das Regeln Wir Schon!,6.40339,Other
1004,Der Feuersalamander,5.81667,Other
1006,Die Erbraffer,5.39128,Other
1007,Die Hanse,5.66677,Other
1008,Die Schlangen von Delhi,5.525,Other
1011,Dream Team,4.89091,Other
1012,Die Magier,5.76065,Other
1013,Energie Poker,6.65714,Other
1014,Fief 2,6.81663,Strategy
1017,Fresh Fish,6.71303,Strategy
1019,Le Gang des Traction-Avant,6.31081,Other
1027,Konzern,5.68333,Other
1028,Kraut & Rüben,5.94741,Other
1029,Lieber bairisch sterben,6.52,War
1031,TV Wars,5.58457,Other
1032,B-17: Queen of the Skies,7.08285,War
1033,"Xenophon: 10,000 Against Persia",6.68437,War
1035,Squad Leader,7.5272,War
1037,Deadlands: Doomtown,7.25657,CGS
1038,Tantrix,6.32354,Abstract
1041,San Marco,7.17156,Strategy
1042,Dragon's Gold,6.43477,Family
1043,Pitstop,6.26,Other
1045,Malawi,6.37105,Abstract
1047,MeM,7.36389,Abstract
1053,Orbit,6.23333,Abstract
1054,Pacific Northwest Rails,6.275,Other
1056,Piratenpoker,4.73333,Other
1063,Schraumen,5.35,Other
1065,Vigo,5.93673,Other
1066,Zargos,6.31458,Other
1071,Aztec,6.53182,Abstract
1073,Der Schatz der Inka,4.94763,Family
1076,Captain Future,6.23125,Other
1077,Baubylon,6.53125,Abstract
1079,Tokami,6.51842,Abstract
1081,Die Schlacht der Dinosaurier,6.39367,Other
1082,Invers,5.98925,Abstract
1084,Das Gold der Maya,4.92979,Other
1087,Matschig,5.6254,Other
1090,YoYo,4.23256,Other
1091,Explosiv,5.78351,Other
1093,Jolly Roger,5.36571,Other
1094,Assassin,3.54019,Strategy
1095,Mystery on the Nile,3.77432,Other
1096,Four Real,4.71696,Other
1098,Judge Dredd,6.28126,Thematic
1101,Flying Carpet,5.82014,Family
1105,Titus,5.19412,Other
1107,Nyet!,6.79175,Strategy
1109,Last Minute,5.56061,Other
1110,Kathai,5.74651,Other
1111,Taboo,6.29424,Party
1115,Poker,6.71893,Strategy
1116,Oh Hell!,6.84374,Family
1117,You're Bluffing!,6.57949,Family
1120,Silver Mine,5.72955,Other
1122,Dry Gulch,5.28788,Other
1126,Car Wars: The Card Game,5.47916,Thematic
1127,Encounters,5.74167,Other
1130,Halali,6.16792,Other
1132,Top Secret,5.67929,Other
